Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,San Francisco Customs District ,All,All,January,Export,2019,58,127511755,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,San Juan Customs District ,All,All,January,Export,2019,59,52482456,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,San Juan Customs District ,All,All,January,Export,2019,59,57183861,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Savannah Customs District ,All,All,January,Export,2019,60,2698720,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Savannah Customs District ,All,All,January,Export,2019,60,82292484,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Savannah Customs District ,All,All,January,Export,2019,61,48277,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Savannah Customs District ,All,All,January,Export,2019,61,3735556,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Seattle Customs District ,All,All,January,Export,2019,62,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Seattle Customs District ,All,All,January,Export,2019,62,45235840,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Seattle Customs District ,All,All,January,Export,2019,63,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Seattle Customs District ,All,All,January,Export,2019,63,45440,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Pacific,Seattle Customs District ,All,All,January,Export,2019,64,386334568,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Pacific,Seattle Customs District ,All,All,January,Export,2019,64,1277119217,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Seattle Customs District ,All,All,January,Export,2019,65,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Seattle Customs District ,All,All,January,Export,2019,65,473181240,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,St Albans Customs District ,All,All,January,Export,2019,66,26506,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,St Albans Customs District ,All,All,January,Export,2019,66,214245376,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,St Albans Customs District ,All,All,January,Export,2019,67,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,St Albans Customs District ,All,All,January,Export,2019,67,366762,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,St Louis Customs District ,All,All,January,Export,2019,68,1607,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,St Louis Customs District ,All,All,January,Export,2019,68,1567705,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Gulf Coast,Tampa Customs District ,All,All,January,Export,2019,69,57786273,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Gulf Coast,Tampa Customs District ,All,All,January,Export,2019,69,43667111,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Virgin Islands(USA) Customs District ,All,All,January,Export,2019,70,50423838,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Virgin Islands(USA) Customs District ,All,All,January,Export,2019,70,19093221,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Washington DC Customs District ,All,All,January,Export,2019,71,5325,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Washington DC Customs District ,All,All,January,Export,2019,71,1828823,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Anchorage Customs District ,All,All,January,Import,2019,72,1040594,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Anchorage Customs District ,All,All,January,Import,2019,72,8208347,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Anchorage Customs District ,All,All,January,Import,2019,73,499,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Anchorage Customs District ,All,All,January,Import,2019,73,16400,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Pacific,Anchorage Customs District ,All,All,January,Import,2019,74,7760526,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Pacific,Anchorage Customs District ,All,All,January,Import,2019,74,6946545,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Anchorage Customs District ,All,All,January,Import,2019,75,15669071,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Anchorage Customs District ,All,All,January,Import,2019,75,11079412,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Baltimore Customs District ,All,All,January,Import,2019,76,145064053,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Baltimore Customs District ,All,All,January,Import,2019,76,165321016,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Boston Customs District ,All,All,January,Import,2019,77,229233580,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Boston Customs District ,All,All,January,Import,2019,77,130648675,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Buffalo Customs District ,All,All,January,Import,2019,78,2706,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Buffalo Customs District ,All,All,January,Import,2019,78,71415,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Import,2019,79,1303123663,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Import,2019,79,2623897268,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Import,2019,80,674,All Partners (Canada and Mexico)
